"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"KNA",2011,3.08994723292317747,1534.12873311678459
"LAO",2011,43372.78595026947446726,25313992.415639237645956
"LBR",2011,5797.43524664507709690,2875383.359688653827731
"LCA",2011,17.33948466972276656,10268.0639725510796
"LKA",2011,491.15505634430855739,190793.391255554866686
"MAF",2011,5.638927656368271,2368.832295112869
"MDG",2011,54167.28311600836890575,29512011.160264838811456
"MDV",2011,3.2865279881697584,97.93692555588356
"MEX",2011,29571.00765684971190644,13203994.5248468554397925
"MMR",2011,25247.76800603030435700,16072533.015370400566768
"MOZ",2011,126.44090844351077417,58877.8482993001967395
"MSR",2011,1.54904046278754345,934.74170591229992
"MTQ",2011,11.24292487960395263,6236.641969369329355
"MWI",2011,2.57402153406467027,1240.06730018490614
"MYS",2011,161190.57487908500153702,144655364.641844126481681
"NGA",2011,7402.62789778075619811,2848247.241737789846426
"NIC",2011,14501.14058569372198194,8468132.323245654476911
"NPL",2011,104.30017798721571115,66262.906261244564286
"PAN",2011,4757.30811232772060284,2905139.850874151321855
"PER",2011,88885.92103181556716873,59594201.027820718368212
"PHL",2011,4919.42972314886211992,3424282.917091796097761
"PLW",2011,14.19026721386773030,11924.701919480345232
"PNG",2011,26449.83749155884200412,22523333.127278668435314
"PRI",2011,37.80605680685764515,21878.32670401309843
"PRY",2011,64118.86124944570783311,22811960.03746618325112
"RWA",2011,7.14859329861565649,4456.92349810845390
"SEN",2011,0.90160222582411027,407.797263779701004
"SLB",2011,3094.54681521869191293,2465416.589297903625524
"SLE",2011,601.35970965647404593,284383.39013135705391
"SLV",2011,71.30081186971028682,43225.292869015769084
"SSD",2011,147.47917250340368103,88329.08023763119699
"SUR",2011,4125.44094739290981001,3348645.73455765589758
"SXM",2011,1.1718220960937502,513.4965839591057
"TCA",2011,0.71518111550347223,130.703167966972637
"TGO",2011,0.6111213490581597,169.89669891778658
"THA",2011,8567.14911611204864392,5086017.781840248920064
"TTO",2011,65.67486192926866970,38987.584970797782903
"TWN",2011,240.40266142530361520,148154.875907015304307
"TZA",2011,802.68833845320440248,395648.477911790289680
"UGA",2011,7940.15034786159710550,4442341.752935408083173
"USA",2011,42.65465060658638327,18749.777016893612583
"VCT",2011,3.5967811956353083,2008.6389992490823
"VEN",2011,15590.43441015213557387,8899126.008897587031497
"VGB",2011,6.21195969958550339,2819.02967250047625
"VIR",2011,0.8042802540787761,355.4263576202663
"VNM",2011,45403.09388234527149474,33348157.942563984777084
"VUT",2011,367.0863980332790607,210837.76134633945164
"ZAF",2011,349.07758584307727204,233222.261303242424710
"ZMB",2011,176.65184008108454858,84175.92741842815247
"ZWE",2011,3.50784936280490496,2068.27887263156030
"AGO",2012,5595.10770451063518984,3218371.188701216660004
"ARG",2012,24809.75958200924316270,8159044.556311018655694
"AUS",2012,1.29069077897081171,610.942818160904455
"BDI",2012,4.76336331722018777,2685.27179910166936
"BEN",2012,0.30585206629041889,99.389501833177056
"BES",2012,0.15053449146158855,31.948840899446075
"BGD",2012,326.56085543135546967,192854.563670384394503
"BHS",2012,7.59950797431315669,1855.198902179564017
"BLZ",2012,6761.67120254812480213,3038211.275389884796508
"BOL",2012,148293.68999931950992630,76261932.271865249573535
"BRA",2012,1116088.23276086841207584,716978213.640209538063659
"BRN",2012,1118.79158938873023486,857101.963457530372940
"BTN",2012,314.81529200861331730,200806.682645020078247
"CAF",2012,10780.01302345820651916,6812519.372209572655025
"CHN",2012,7910.77655543931927833,4535932.60184518205355
"CIV",2012,23086.24145224714342345,10661199.754327068564362
"CMR",2012,25416.83661285902157299,15523400.970510208439723
"COD",2012,211233.58571470194388477,144749222.686750320630622
"COG",2012,14805.69168002546134471,9419529.165926740790609
"COL",2012,69587.36731499913380459,43747645.175150752845501
"CRI",2012,753.58829855371373336,447562.512198110337917
"CUB",2012,244.46868688400063391,101035.429422768119200
"CYM",2012,2.10621520496093740,571.745525742238882
"DMA",2012,39.93587527650336365,23575.62848045004378
"DOM",2012,1568.69326770350347944,686453.508581517219624
"ECU",2012,16354.15928964052613370,11513876.915486151384335
"ETH",2012,5076.61214590932545573,3169287.02914891630489
"FJI",2012,72.54379410666558686,40641.74747514762711
"GAB",2012,9507.89038182817969349,5907718.749407703271815
"GHA",2012,2501.19765169427395226,1133100.76012449607236
"GIN",2012,589.09557866455907824,315820.655325832086424
"GLP",2012,11.8332924649332703,6488.60561894185092
"GNB",2012,110.30080950222561351,32515.016902636524801
"GNQ",2012,2291.98438338022058051,1456169.25425106349336
"GTM",2012,27788.53298735521197330,13920633.820352937433237
"GUF",2012,7425.93349207103201960,5829757.503903848906316
"GUY",2012,8942.25458440165069764,6262618.079664881757638
"HND",2012,10008.15485153273314914,5439876.443339142493496
"HTI",2012,48.00735154902667892,24322.630829076468864
"IDN",2012,855533.53376395977890960,827723030.530958038177271
"IND",2012,18804.31467953654152398,10261413.054432936282828
"JAM",2012,473.32182386470293783,269370.217817834935252
"KEN",2012,1663.76033128026351244,951736.957886669017590
"KHM",2012,115204.89172102636736435,77021998.795745606866508
"KNA",2012,4.19352244185763864,2010.37091195016856
"LAO",2012,42485.89666525451658694,24976351.145268289423074
"LBR",2012,11267.55691405104477393,5689125.138797306962496
"LCA",2012,10.91216127243652488,6561.50753646258579
"LKA",2012,1585.04406996973278294,619740.939669209337563
"MAF",2012,1.3914085067599828,605.355536421144
"MDG",2012,32422.57879936312459233,17564682.773333143316991
"MDV",2012,0.3061656572998047,0.0
"MEX",2012,28225.47934598344184632,12976475.6928127959530715
"MMR",2012,34050.95292131028255926,22078604.243355377888528
"MOZ",2012,397.26434118112643016,199622.916033177642127
"MSR",2012,0.66376064057291673,369.95005139900517
"MTQ",2012,21.89057934254015059,12394.395325216660016
"MWI",2012,16.8593532447477212,8334.02884063327904
"MYS",2012,244306.69492989669258343,211130469.324967754704739
"NGA",2012,6061.60276243272003713,2312690.661252193357242
"NIC",2012,7265.32156448385199133,4137143.927681241379313
"NPL",2012,208.84968269821070461,132554.948042975292963
"PAN",2012,3114.79922045660111743,1934898.324225305181230
"PER",2012,177235.78223961190477751,117956234.075435958650513
"PHL",2012,6889.40721367230124484,4882575.162830259281994
"PLW",2012,7.62937147529079983,6648.815815651053177
"PNG",2012,39700.83718178503743464,34370814.878241867010924
"PRI",2012,34.00588228006401764,20596.900468035094664
"PRY",2012,83806.48071440522632737,28389199.066057008734146
"RWA",2012,6.61048885081624414,3972.44785341656172
"SGP",2012,0.3076430632844374,168.05673359750392
"SLB",2012,5253.29269594329566054,4274304.747801496038765
"SLE",2012,612.54042375389454799,286533.83994024029403
"SLV",2012,40.73278785802246131,24764.476200552710797
"SSD",2012,86.69981628437211526,45749.9169477550522
"SUR",2012,13539.66042243672036772,10991823.498242850525054
"TCA",2012,1.50263285316080726,314.96264234067838
"TGO",2012,1.3750658615332031,385.720132152645225
"THA",2012,8091.80387006830568765,4793932.120585196791456
"TTO",2012,94.29658752940267360,54076.722994189201651
"TWN",2012,237.60692989795791403,115400.00051250944165
"TZA",2012,1364.82747826576196782,628229.359112853189169
"UGA",2012,4559.10634286526635622,2597409.57190723432508
"UMI",2012,0.14618934341579862,0.0
"USA",2012,95.51215443593101127,44481.315171982402686
"VCT",2012,3.2220934614176435,1805.66594461958168
"VEN",2012,22124.94479104657240374,12478709.706964847583680
"VGB",2012,0.36547502913194447,171.54529817140493
"VIR",2012,0.2924770104546441,154.8366300192367
"VNM",2012,68336.66573251608806884,49440946.928231233656473
"VUT",2012,62.45156795442817092,38067.144235572796290
"ZAF",2012,335.05916905340529523,232048.506979310270755
"ZMB",2012,949.77504474834475704,448776.97574786447010
"ZWE",2012,63.29589263170785766,36861.92258090953616
"AGO",2013,9263.69678762341401150,5173954.951891093671922
"ARG",2013,56675.33724570403456852,18475915.140743711806031
"AUS",2013,2.4204691161518013,1022.70483611008032
"BDI",2013,10.98885606671454826,5795.571566697009266
"BEN",2013,1.91029264117540158,508.88579144255381
"BES",2013,0.22021442672092018,0.0
"BGD",2013,187.89948469465388155,108609.709630306298736
"BHS",2013,3.1233393658279086,756.65403301856643
"BLZ",2013,8448.71249178244024318,3924278.000784712913707
"BOL",2013,82289.53313007268968861,42488335.010069674324710
"BRA",2013,632093.50680572232960328,408244477.495072060160839
"BRN",2013,608.70705523052315875,457838.153734828378006
"BTN",2013,191.20649480780600940,112644.152780902362836
"CAF",2013,6481.37465216836870864,4254092.86483094102124
"CHN",2013,5568.80009966084096660,3343173.960417948862469
"CIV",2013,18852.99434488223675884,8323751.357664930931774
"CMR",2013,42764.33480194845327585,26861376.109497288687963
"COD",2013,351217.36649872777173757,246759716.497667122004795
"COG",2013,24817.96593998443109055,15864566.806981502806039
"COL",2013,57712.66857978283935374,36798490.729847989423669
"CRI",2013,759.77072291507546711,446833.143616474036362
"CUB",2013,68.49838788242731583,21350.889251607002395
"CYM",2013,5.45279225761610290,1743.525435912136097
"DMA",2013,5.12224114055935490,2825.92324452343691
"DOM",2013,262.94014111726359771,112682.932554821365944
"ECU",2013,11590.29901887098782672,8635137.759499196476360
"ETH",2013,6608.85066269549763272,3865649.238529158182044
"FJI",2013,453.40769532518577577,269981.980503085309924
"GAB",2013,25802.39778859179742338,16070543.126532573194696
"GHA",2013,5111.73773409127121509,2265006.74754509612597
"GIN",2013,1029.71259202627707639,499977.521966492539374
"GLP",2013,2.21850456048936645,1073.18496752035441
"GNB",2013,476.43968508465690396,148575.54694621046428
"GNQ",2013,4065.05701475880568783,2496849.866699296125907
"GTM",2013,19870.47041581593470476,9934894.721169088592097
"GUF",2013,1989.56604338716566154,1544251.93381096083867
"GUY",2013,4511.58307678391156525,3094868.469807079438538
"HND",2013,16969.72188826097664020,9395795.385874725994114
"HTI",2013,14.30089492423828335,7512.155230289089526
"IDN",2013,472991.32837201821050710,449676984.168646538077920
"IND",2013,14398.72645058555497982,7815386.647038231903575
"JAM",2013,130.04292761110028252,70660.894015753946026
"KEN",2013,1622.94389921876364964,698099.365539405352484
"KHM",2013,123195.20486252049254966,84927420.573847854464637
"KNA",2013,3.0881581267437068,1489.51708840156275
"LAO",2013,41317.56494726866696102,24228303.085510056273984
"LBR",2013,16258.39471254956418579,8127575.834601776945966
"LCA",2013,2.0925629955240887,1189.07739824920314
"LKA",2013,226.21957058520809169,70976.143138707707460
"MAF",2013,0.366144255171441,125.8926639572369
"MDG",2013,65211.35292240080044137,35780983.581639507911805
"MDV",2013,0.9936379575024414,0.0
"MEX",2013,36627.84812556939435845,15679984.7600671830834590
"MMR",2013,31383.53830766731792522,20149213.853443439269644
"MOZ",2013,946.01052743405947004,501457.553132409793296
"MSR",2013,0.36882855360785595,204.39075149986405
"MTQ",2013,2.0842506422553169,1058.488839436551114
"MWI",2013,18.33387104358940776,11323.14884924598125
"MYS",2013,106041.00651656015136242,90205280.170326914313336
"NGA",2013,6385.34259342706286017,2504290.840535848746664
"NIC",2013,14016.02368112993468682,8094475.927671978202117
"NPL",2013,50.69224340066840075,30563.44294714711860
